# Kho cờ thế, sinh bằng tool/generate_puzzles_test.dart
# Mỗi dòng: <số nửa nước>|<thế cờ FEN>|<đường thắng mẫu>
# Mọi dòng đều đã được máy chứng minh là thắng ép và chỉ có đúng một
# nước mở đầu thắng. Đừng sửa tay — sửa xong là bài kiểm đỏ.
1|3a1a3/4k4/8R/9/2N6/9/9/9/3C5/3K5 w - - 0 1|c5d7
1|5k3/P8/9/9/7R1/9/6p2/4K4/3p5/9 w - - 0 1|h5f5
1|5R3/R8/3k5/9/9/1p7/9/9/4nK3/9 w - - 0 1|f9f7
1|5k3/9/9/8N/9/9/9/3KR4/9/9 w - - 0 1|e2e8
1|9/9/4bk3/9/3C5/9/8R/3K5/9/5n3 w - - 0 1|i3f3
1|4k4/9/9/5N3/9/9/2P6/3K5/8R/9 w - - 0 1|i1i9
1|9/3C1k3/9/8N/9/9/9/9/R3K4/9 w - - 0 1|i6h8
1|9/9/2P1k4/4C4/9/9/9/9/C4K2p/2p6 w - - 0 1|a1e1
1|9/C3a4/3k2P2/9/9/9/9/9/4K4/4R4 w - - 0 1|e0d0
1|8C/9/3k2N2/9/9/9/9/N8/5K3/9 w - - 0 1|g7f9
1|9/5k3/9/9/9/9/9/1R7/4K4/p4N3 w - - 0 1|b2f2
1|4P4/3k5/3C5/9/7N1/9/9/9/4K4/9 w - - 0 1|h5f6
1|9/9/3k5/9/8P/1N7/9/1C2K4/9/9 w - - 0 1|b4c6
1|4k4/8R/P8/9/5P3/9/9/9/9/3K5 w - - 0 1|i8f8
1|4P4/6P2/5k3/9/9/9/9/9/3K5/3C5 w - - 0 1|d1e1
1|R8/3k5/1P7/9/9/9/9/3C5/9/4K4 w - - 0 1|b7c7
1|C8/5P3/3k5/9/9/9/5N3/9/4K4/9 w - - 0 1|f8e8
1|9/P3a4/3k5/9/9/9/9/2R6/4K1N2/9 w - - 0 1|c2d2
1|9/2P6/4kN3/9/9/9/9/9/9/3K5 w - - 0 1|f7g9
1|5k3/9/5C3/9/1P7/9/9/9/4K4/R8 w - - 0 1|a0a8
1|5k1P1/9/9/9/4R4/9/9/9/3K5/9 w - - 0 1|e5e8
1|5k3/1R7/9/9/9/4P4/9/3K5/6N2/9 w - - 0 1|b8e8
1|9/5k3/9/6R2/2b6/9/9/4K4/9/4C4 w - - 0 1|g6f6
1|9/9/3k5/7P1/9/2N6/9/4K4/2R6/9 w - - 0 1|c1d1
1|3P5/5k3/7R1/9/9/9/pp7/4K4/R8/9 w - - 0 1|a1f1
1|9/6N2/3k5/4R4/9/9/9/4K4/9/3p3p1 w - - 0 1|e6d6
1|5ab2/3kN4/9/9/9/9/R8/4K3R/9/9 w - - 0 1|a3d3
1|9/9/3k5/3C5/2b6/6C2/9/9/8p/4K4 w - - 0 1|g4d4
1|3k5/9/9/1RR6/9/9/3n5/4K4/9/9 w - - 0 1|c6d6
1|4n4/5k1N1/9/2N1R4/9/9/9/4K4/9/7p1 w - - 0 1|e6e8
1|3k5/6P2/bR7/9/9/9/9/9/4K4/9 w - - 0 1|b7d7
1|9/9/3k4P/9/3N5/9/8C/9/9/4K4 w - - 0 1|i3d3
1|9/9/3k5/9/9/4R4/9/9/3C1K3/9 w - - 0 1|e4e8
1|4Ck3/3C5/4R4/9/9/9/9/9/8p/4K4 w - - 0 1|e7f7
1|3P1k3/3P5/9/9/9/9/9/3K5/9/9 w - - 0 1|d8e8
1|9/4a4/4ka3/9/3P5/8C/9/9/5K3/4C4 w - - 0 1|i4i7
1|3k5/9/1R7/9/9/9/3p5/9/4K4/2C6 w - - 0 1|b7d7
1|9/9/4k3N/9/9/9/9/4N4/3R5/5K3 w - - 0 1|d1d8
1|5N3/4k4/9/9/7R1/9/9/9/9/5K3 w - - 0 1|h5e5
1|9/9/3k5/9/9/9/9/4R4/9/5K2C w - - 0 1|e2e8
1|9/5k3/9/9/9/9/4R4/R3K4/9/N8 w - - 0 1|e3f3
1|9/7C1/5k3/4P4/8C/9/9/9/9/3K5 w - - 0 1|i5i8
1|9/9/3k1a3/8R/2P6/9/p8/4K4/9/9 w - - 0 1|i6d6
1|5k3/5C3/5n3/1C7/9/9/9/8N/4K4/9 w - - 0 1|b6f6
1|3k2b2/9/9/9/6N2/9/1N2R4/4K4/9/9 w - - 0 1|e3d3
1|2C6/6P2/5k3/9/9/9/9/N8/9/3K5 w - - 0 1|d0e0
1|5k3/9/5a3/6N2/9/9/1R7/1p1K5/9/9 w - - 0 1|b3b9
1|9/9/3kb4/R8/9/9/9/9/7C1/4K4 w - - 0 1|a6d6
1|4k4/6R2/9/9/7n1/9/9/9/3Kn3R/9 w - - 0 1|i1i9
1|9/3k5/9/6C2/6b2/8p/9/4K4/9/3C5 w - - 0 1|g6d6
1|9/5k3/5a3/9/9/9/9/9/5RR2/4K4 w - - 0 1|g1g9
1|5C3/5k3/9/9/9/9/9/9/4K4/8R w - - 0 1|i0f0
1|5k3/9/9/9/9/3N3R1/9/4K2p1/9/9 w - - 0 1|h4f4
1|9/3k5/5a3/9/4R4/6P2/9/4KR3/9/9 w - - 0 1|e5d5
1|3k3n1/8P/7R1/9/1N7/9/1p7/9/4K4/9 w - - 0 1|h7d7
1|3k5/9/9/9/7P1/1N7/9/9/9/4K4 w - - 0 1|b4c6
1|3k5/R8/9/8p/9/3p5/9/4K2R1/9/9 w - - 0 1|h2h9
1|9/5k3/9/9/2n3b2/2N6/7R1/9/9/1C2K4 w - - 0 1|h3f3
1|4k4/R8/9/6R2/9/9/9/1p1K5/9/9 w - - 0 1|g6g9
1|3k3P1/9/9/9/4N4/9/9/1C7/9/5K3 w - - 0 1|e5f7
1|5k3/9/9/7P1/9/9/9/3K5/9/4R4 w - - 0 1|e0e8
1|5k3/4P4/9/9/6bP1/7N1/9/3K5/9/9 w - - 0 1|h5g5
1|9/3P5/4k4/9/9/9/9/7R1/9/3K3p1 w - - 0 1|h2h7
1|9/5k3/9/9/9/9/9/4K4/3R5/4C4 w - - 0 1|d1f1
1|3k5/9/P8/9/9/9/R8/9/9/4K4 w - - 0 1|a3d3
1|9/5k3/b2a5/2P6/2R6/9/9/9/4K4/9 w - - 0 1|c5f5
1|4k4/9/3P5/9/9/9/9/N8/5K3/3C5 w - - 0 1|d7d8
1|3k5/9/9/9/1R7/2P6/9/2p6/9/4K2p1 w - - 0 1|b5d5
1|5a3/9/3k5/5R3/6C2/9/2n6/9/9/4KN3 w - - 0 1|f6d6
1|3k1P3/9/9/9/9/9/9/p1N6/4R4/5K3 w - - 0 1|e1d1
1|3n2R2/4R4/3k1a3/9/6C2/9/9/9/4K4/9 w - - 0 1|g9d9
3|3k2C2/9/9/9/P6n1/9/9/1n7/4K4/8R w - - 0 1|i0d0 b2d3 d0d3
3|4k4/8N/9/8C/9/9/9/9/4NK3/9 w - - 0 1|i8g9 e9d9 g9f7
3|9/9/5k3/9/6b2/4NN3/4N4/9/9/p2K5 w - - 0 1|f4g6 g5e7 e4d6
3|9/4k4/9/9/9/2P6/9/9/2R6/3K5 w - - 0 1|c1f1 e8e9 f1f8
3|5k3/R3a4/4bN3/9/9/9/9/3K5/9/9 w - - 0 1|a8e8 e7c9 f7h8
3|4k4/9/9/9/6b2/R8/7N1/5K3/4C4/9 w - - 0 1|h3g5 e9e8 g5e6
3|9/7P1/5k3/9/9/9/5C3/3K5/6C2/9 w - - 0 1|d2e2 f7f8 g1f1
3|5N3/9/P2kb4/7P1/2b6/9/9/4K4/9/9 w - - 0 1|a7b7 e7c9 b7c7
3|4N4/9/4k4/9/9/5N3/9/9/5K3/9 w - - 0 1|f4e6 e7e8 e9c8
3|4k3P/5C3/9/9/6R2/9/9/3K5/9/9 w - - 0 1|g5e5 e9f9 e5e8
3|3R1a3/9/5k3/9/9/9/6C2/4N4/3K5/9 w - - 0 1|d9f9 f7e7 f9f8
3|5kb2/3P5/9/2n6/9/6R2/9/9/9/3K5 w - - 0 1|d8e8 g9e7 g4f4
3|9/9/4k4/9/7P1/9/9/7C1/R2K5/9 w - - 0 1|a1a8 e7f7 a8e8
3|5k3/1N7/9/9/2R3b2/9/9/3K5/9/1R7 w - - 0 1|b8d7 g5e7 c5f5
3|5a3/9/5k3/6R2/9/9/9/3K2C2/9/9 w - - 0 1|d2e2 f9e8 g6f6
3|1C4b1N/2R6/4k4/9/9/9/9/9/5K3/9 w - - 0 1|c8d8 g9i7 i9g8
3|4k4/9/9/6P2/C5R2/9/9/9/5K3/9 w - - 0 1|g5e5 e9d9 e5e8
3|1NN3b2/5k3/3a5/7P1/9/9/9/9/4K4/9 w - - 0 1|c9d7 f8f9 b9d8
3|4k4/9/4b4/9/9/9/9/3K5/4R2C1/9 w - - 0 1|e1e7 e9f9 e7e8
3|9/9/4k4/9/9/9/6N2/3K5/3R5/9 w - - 0 1|d1e1 e7f7 e1e8
3|9/9/5k3/1P3n1R1/9/9/9/3K5/9/9 w - - 0 1|h6f6 f7e7 f6f8
3|8P/5k3/9/9/P4P3/9/9/4K4/9/9 w - - 0 1|f5f6 f8f9 f6f7
3|9/4ak3/9/3R4P/9/9/9/4K4/3N5/9 w - - 0 1|d6d8 f8f9 d8e8
3|9/1n6R/4k4/9/9/9/9/C2K5/9/2N6 w - - 0 1|i8b8 e7f7 b8e8
3|9/1P1k5/9/7C1/9/9/5C3/5K3/9/9 w - - 0 1|f2e2 d8d9 b8c8
3|9/9/5k2C/9/9/9/9/9/3K5/1R1N5 w - - 0 1|b0b8 f7e7 b8f8
3|9/5k3/b8/9/8P/9/2N6/9/3K5/7R1 w - - 0 1|d1e1 f8f9 h0f0
3|3a1k3/9/9/9/2RP5/9/9/2C1K4/9/9 w - - 0 1|c5c8 d9e8 c8e8
3|4k4/9/1P7/9/9/9/3C5/1R7/9/3K5 w - - 0 1|b2e2 e9d9 d3d8
3|6b2/C4k3/8b/8R/9/9/9/3K5/1N7/9 w - - 0 1|d2e2 f8f9 i6f6
3|9/R8/3k1a3/9/9/9/9/2N6/9/5K3 w - - 0 1|f0e0 f7e8 a8e8
3|9/1C2k4/6P2/9/2P6/9/9/9/9/3K5 w - - 0 1|g7f7 e8e9 f7f8
3|9/9/4k4/9/8n/9/9/2RK5/7R1/9 w - - 0 1|h1h8 e7f7 c2c7
3|4k4/4a2R1/9/9/9/3C5/9/9/3K5/9 w - - 0 1|d1e1 e9d9 h8e8
3|2P2k3/8P/5a3/9/9/9/9/R8/4K4/9 w - - 0 1|a2a8 f7e8 a8e8
3|8N/9/5k3/9/9/9/9/2p3R2/2RK5/9 w - - 0 1|d1e1 f7f8 g2f2
3|5P3/4k4/9/1RC6/9/9/9/9/9/5K3 w - - 0 1|b6b8 e8e7 b8d8
3|9/3k5/9/9/9/9/9/1NR6/5K2p/9 w - - 0 1|f1e1 d8d9 c2d2
3|C8/2R1a4/4k4/9/9/9/1N7/3K5/9/9 w - - 0 1|a9e9 e8d9 c8f8
3|3k5/2n6/9/9/6R2/9/9/9/1p7/4K1C2 w - - 0 1|g5d5 c8d6 d5d6
3|9/9/4k4/9/9/9/9/8C/8R/5K3 w - - 0 1|i1e1 e7d7 e1e8
3|9/3k5/9/9/2p6/9/4C4/4K4/2C6/9 w - - 0 1|e3d3 d8d9 c1d1
3|4P4/3k5/P7b/9/9/9/9/2R6/5K3/9 w - - 0 1|f1e1 d8d7 c2d2
3|9/9/3k5/P8/9/9/9/4C4/6C2/4K4 w - - 0 1|e2d2 d7d8 g1d1
3|9/4a4/4k4/1P7/9/3R5/9/9/9/3C1K3 w - - 0 1|d4e4 e7d7 e4e8
3|9/5k3/9/N8/2N6/4P4/9/4K4/9/9 w - - 0 1|a6c7 f8f9 c5d7
3|6b2/9/1N1k5/9/3P5/9/3N5/9/9/5K3 w - - 0 1|f0e0 g9e7 d5d6
3|9/2P2k3/9/9/9/4p3R/9/3K5/9/9 w - - 0 1|i4e4 f8f9 e4e8
3|5k3/9/3a5/9/9/3R5/9/9/5N3/3K2R2 w - - 0 1|g0e0 f9f8 d4f4
3|5a3/9/4k4/5P3/9/9/9/R2K5/9/9 w - - 0 1|a2a9 f9e8 a9e9
3|2Na1k3/9/9/9/7N1/7N1/7p1/9/4K4/9 w - - 0 1|c9d7 d9e8 h5g7
3|4k4/9/9/9/7CR/8P/9/9/5K3/9 w - - 0 1|i5i8 e9d9 i8e8
3|2b6/N4k3/9/9/9/9/9/2N6/4K4/9 w - - 0 1|a8c9 f8f9 c9d7
3|9/5k3/9/2P6/9/9/6C2/3Kn4/6R2/9 w - - 0 1|d2e2 f8f9 g1f1
3|5k3/8R/9/9/9/1n7/2N5R/9/9/3K5 w - - 0 1|d0e0 b4a6 i3f3
3|9/6C2/4k4/9/8R/9/9/3K5/7N1/9 w - - 0 1|i5e5 e7f7 e5e8
3|3k5/P8/9/9/9/9/3C5/5K3/5C3/9 w - - 0 1|f2e2 d9d8 f1d1
3|5a3/9/5k3/9/4P4/C5N2/9/4K4/9/9 w - - 0 1|e5f5 f9e8 a4f4
3|N8/9/5k3/9/9/9/9/R8/9/3Kp4 w - - 0 1|d0e0 f7f8 a2f2
3|9/9/4k4/9/9/4N4/9/9/R4K3/9 w - - 0 1|a1a8 e7d7 a8e8
3|3k5/9/b8/9/7N1/9/9/5R3/5KC2/9 w - - 0 1|f1e1 d9d8 f2d2
3|3k5/9/9/9/4P4/9/9/9/2R6/4K4 w - - 0 1|e5f5 d9d8 c1d1
3|9/3k5/9/9/6C2/9/9/9/4K1R2/n8 w - - 0 1|g1g4 d8d9 g4d4
3|1N1a5/4k4/9/9/9/9/9/3K5/4N1R2/9 w - - 0 1|b9c7 e8e9 g1g9
3|4k4/9/8b/4N4/5N3/9/5R3/9/9/3K5 w - - 0 1|f5g7 i7g9 f3f9
3|9/3C5/3k5/9/9/9/9/5K3/2R6/9 w - - 0 1|f2e2 d7d8 c1d1
3|3k3C1/9/9/9/9/9/9/3N5/6R2/5K3 w - - 0 1|g1g8 d9e9 g8d8
3|N8/2N2k3/9/9/9/9/9/9/9/3KC4 w - - 0 1|c8e7 f8f7 e7d9
3|5k3/4a1N2/9/9/2P6/9/9/9/R8/4K4 w - - 0 1|a1f1 e8f7 f1f7
3|9/3ka2R1/9/6p2/4N4/9/9/9/4K4/9 w - - 0 1|e5g6 d8d9 h8e8
3|1P3k3/9/5N3/9/9/9/9/9/9/3K5 w - - 0 1|d0e0 f9f8 f7d8
3|4ka3/9/5a3/9/9/9/9/6NR1/3K5/8R w - - 0 1|i0e0 f9e8 h2h9
3|2C6/9/b4k2P/9/9/5n3/9/9/4K4/4R4 w - - 0 1|e0f0 a7c9 f0f4
3|9/9/1N3k3/9/9/9/9/3K5/9/1pR6 w - - 0 1|b7d6 f7f8 c0f0
3|3k1a3/9/3C5/9/8P/9/9/9/4K4/7R1 w - - 0 1|h0h8 f9e8 h8e8
3|9/3ka4/C8/9/8P/9/9/5KR2/9/9 w - - 0 1|g2g8 d8d9 g8e8
3|4k2n1/9/9/9/4N4/9/9/7R1/9/3K5 w - - 0 1|h2h9 e9e8 e5g6
3|5k3/9/9/9/5P3/9/9/9/3K5/8R w - - 0 1|i0i8 f9e9 i8f8
3|9/5kC2/b8/9/9/R8/7C1/9/3K5/9 w - - 0 1|d1e1 f8f9 a4f4
3|9/3k5/9/9/6p2/4R4/9/6R2/1n3K3/9 w - - 0 1|e4d4 d8e8 g2e2
3|3a3R1/9/3k5/9/9/2C6/9/5K3/9/5N3 w - - 0 1|h9d9 d7e7 d9d8
3|9/4k4/9/9/9/9/5C3/3N5/3K5/9 w - - 0 1|d2e4 e8e9 e4f6
3|9/5k3/6N2/9/5N3/9/9/9/3K5/3p5 w - - 0 1|d1d0 f8f7 g7h9
3|4k4/9/7N1/9/9/9/3N5/5K3/9/C8 w - - 0 1|h7g9 e9d9 g9f7
3|7P1/3k5/9/3N5/4C4/9/9/9/9/4Kp3 w - - 0 1|e0e1 d8d9 e5d5
3|9/4ak3/9/9/1P7/6R2/9/3K5/9/9 w - - 0 1|g4g8 f8f9 g8e8
3|3k4P/9/5a3/9/2N6/9/9/9/9/4RK3 w - - 0 1|c5b7 f7e8 e0e8
3|3k5/9/9/9/6R2/p7C/9/9/9/5K3 w - - 0 1|f0e0 d9d8 g5d5
3|2b6/9/3k5/8R/9/9/5N2P/9/5K3/9 w - - 0 1|f1e1 c9a7 i6d6
3|8P/9/3k5/N8/9/9/9/9/5K3/9 w - - 0 1|f1e1 d7d8 a6b8
3|9/5k3/9/9/1C7/9/5N3/n8/9/4K4 w - - 0 1|b5b2 f8f9 b2f2
3|9/3k5/9/1N7/9/9/9/4C4/3N5/4K4 w - - 0 1|e2d2 d8d9 b6d7
3|2N2a3/5k3/9/9/p8/9/9/9/4KC3/9 w - - 0 1|c9d7 f8f7 d7f6
3|9/3k5/4ba3/2P6/9/4C4/9/4K4/9/8C w - - 0 1|i0d0 d8d9 c6d6
3|2P1k4/9/9/9/2N6/9/5C3/5K3/9/p8 w - - 0 1|f3e3 e9e8 c5e6
3|1N3k3/9/8b/1C7/5n3/9/9/N8/4K4/9 w - - 0 1|b9d8 f9f8 b6b8
3|9/3k5/9/pP7/9/9/9/8R/5K3/9 w - - 0 1|f1e1 d8d9 i2d2
3|5k3/9/9/3P5/7P1/2R6/9/9/3K5/9 w - - 0 1|d1e1 f9f8 c4f4
3|1P3k3/4a4/9/9/N8/9/9/4K4/9/R8 w - - 0 1|a0f0 f9e9 b9c9
3|4k4/9/N3b4/p8/9/7R1/9/3K5/9/9 w - - 0 1|a7c8 e9e8 h4h8
3|9/5k1N1/9/9/n8/R8/2N6/3K5/9/9 w - - 0 1|d2e2 a5b7 a4f4
3|5k3/9/1C7/3N5/9/9/9/9/4K4/9 w - - 0 1|d6f7 f9f8 f7d8
3|9/5k3/3n5/3C5/8C/9/9/4C4/4K3p/9 w - - 0 1|e2f2 f8f9 d6f6
3|4k4/1P7/9/9/9/4P4/9/8R/5K3/9 w - - 0 1|i2i8 e9d9 i8e8
3|9/4k4/8N/9/9/1C6R/9/9/9/3K5 w - - 0 1|i4f4 e8e9 f4f8
3|3C5/5k3/9/9/9/2N6/9/4K4/9/9 w - - 0 1|c4b6 f8f9 b6d7
3|5kb2/9/9/9/6NC1/9/9/3NK4/9/9 w - - 0 1|g5f7 f9f8 f7h8
3|9/5k3/7P1/9/3n5/9/R8/9/4K1p2/9 w - - 0 1|a3f3 d5f6 f3f6
3|9/1N2k4/9/9/9/9/6C2/9/5K3/9 w - - 0 1|g3a3 e8e9 a3a8
3|5a3/5k3/3a5/9/9/9/5NR2/9/4K4/9 w - - 0 1|g3g8 f8f7 f3g5
3|9/3C1k3/2P2n3/9/9/9/9/9/4K1R2/9 w - - 0 1|g1f1 f8f9 f1f7
3|3k5/9/9/9/2N6/9/P2N5/9/9/5K3 w - - 0 1|c5e6 d9e9 e6c7
3|9/9/4k4/9/6PN1/9/9/9/9/5KR2 w - - 0 1|h5g7 e7d7 g7f9
3|4P4/5k3/9/9/9/6pC1/9/4K4/9/4R4 w - - 0 1|e0f0 g4f4 f0f4
3|9/3k5/9/9/6b2/9/9/4K1R2/9/1N7 w - - 0 1|g2g5 d8d9 g5g8
3|2Na5/9/4k4/9/9/3N5/9/9/5K3/9 w - - 0 1|d4c6 e7e8 c9d7
3|3R5/9/4k4/9/2P6/p3p4/9/9/1R3K3/9 w - - 0 1|b1e1 e7e8 e1e4
3|5aC2/9/3k5/4R4/9/9/P8/5K3/9/9 w - - 0 1|f2e2 f9e8 e6e8
3|6b2/9/3k5/9/4P4/9/9/4C4/7p1/4K2R1 w - - 0 1|h0h1 g9e7 h1d1
3|2b1k4/9/8R/9/9/9/9/2R6/3K5/7N1 w - - 0 1|c2c9 e9e8 c9f9
5|1N2k4/9/9/1P7/9/9/9/3K5/5C3/9 w - - 0 1|b9c7 e9f9 c7d5 f9f8 d5f6
5|9/1P7/3k5/9/3P5/9/9/9/5K3/9 w - - 0 1|f1e1 d7d8 b8c8 d8d9 d5d6
5|6b2/3P5/5k3/9/4p4/9/2R6/4K4/9/9 w - - 0 1|c3e3 g9i7 e3e5 f7f8 e5f5
5|4k4/9/9/9/9/9/2R2pP2/9/9/3K5 w - - 0 1|c3f3 e9e8 f3f4 e8e9 f4f8
5|9/3C5/5k3/9/9/9/7N1/9/9/3K5 w - - 0 1|d0e0 f7f8 h3g5 f8f9 g5h7
5|9/4a4/5k3/9/n8/R8/9/9/6C2/3K5 w - - 0 1|a4a5 e8d9 d0e0 d9e8 a5f5
5|9/7n1/5k3/7C1/9/C7N/9/4K4/9/9 w - - 0 1|h6f6 h8g6 i4g5 f7f8 a4f4
5|3k5/9/9/n8/3C2b2/8R/9/9/4K4/9 w - - 0 1|i4d4 a6b8 d5c5 b8d7 d4d7
5|3k5/9/9/9/9/9/3N5/2n6/N3K4/9 w - - 0 1|a1c2 d9d8 d3c5 d8d9 c5b7
5|2Ck5/9/9/9/9/2P5N/9/9/5K3/9 w - - 0 1|f1e1 d9d8 i4h6 d8d9 h6f7
5|5k3/9/3Pb4/9/9/9/9/9/4K4/1N7 w - - 0 1|d7e7 f9f8 e7e8 f8f9 e1e2
5|9/4k4/9/9/7P1/9/9/5K3/2R6/8p w - - 0 1|c1e1 e8d8 f2e2 d8d9 e1d1
5|4ka3/4a1P2/9/7R1/9/9/9/5K3/9/9 w - - 0 1|f2e2 e9d9 h6d6 d9e9 g8g9
5|9/9/4k4/9/9/9/1n6C/9/1R7/5K3 w - - 0 1|b1b3 e7e8 b3b8 e8e9 b8d8
5|1N3kN2/9/9/9/2b6/4C3p/9/9/4K4/9 w - - 0 1|e4f4 f9f8 b9d8 c5a7 g9f7
5|2P2k3/9/5a3/9/1C7/7p1/9/R2K5/9/9 w - - 0 1|a2a8 f7e8 a8e8 h4h3 b5b9
5|9/3k5/9/9/2P6/5C2N/9/9/9/5K3 w - - 0 1|f0e0 d8d9 c5d5 d9d8 f4d4
5|9/5k3/N8/9/1P7/9/9/9/9/2NK5 w - - 0 1|d0e0 f8f9 a7b9 f9f8 b9d8
5|9/5k3/5n3/9/2R6/9/9/3K5/1C1C5/9 w - - 0 1|c5f5 f8f9 f5f7 f9e9 f7f8
5|3a5/7R1/3P1k2b/9/9/9/9/3K5/9/9 w - - 0 1|d2e2 i7g5 h8h6 d9e8 h6f6
5|5P3/5k3/9/3P5/9/9/9/9/9/3K5 w - - 0 1|f9g9 f8f7 d6d7 f7f8 d7e7
5|6n2/5k3/9/9/8C/9/9/9/3R5/3K5 w - - 0 1|d0e0 g9f7 d1f1 f8f9 f1f7
5|9/7N1/3k5/9/4P4/9/9/p8/4K4/N8 w - - 0 1|h8f9 a2a1 e5e6 a1a0 e6e7
5|5k3/9/7C1/9/7R1/9/C8/9/9/3K2p2 w - - 0 1|d0e0 g0f0 e0e1 f9f8 h5f5
5|5a3/1N1k5/9/3C5/9/9/9/9/5K3/9 w - - 0 1|f1e1 f9e8 d6a6 e8d9 a6a8
5|9/9/b2k5/9/9/5C3/1C4C2/5K3/9/9 w - - 0 1|f2e2 a7c9 f4d4 c9a7 b3d3
